index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	José Ortega y Gasset visited Husserl at Freiburg in 1934.	1934 besuchte José Ortega y Gasset Husserl in Freiburg.	"[100, 100, 100]"	100	"[0.9553316582231767, 1.5523622744336512, 0.8505318100501577]"	1.119408581	-0.102446496
1	"However, a disappointing ninth in China meant that he dropped back to sixth in the standings."	"Eine enttäuschende Neunte in China bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel."	"[61, 70, 87]"	72.66666667	"[-1.1951539386222017, 0.04217636328434989, -0.31279481766981004]"	-0.488590798	-0.431046098
2	"In his diary, Chase wrote that the release of Mason and Slidell ""…was like gall and wormwood to me."	"In seinem Tagebuch, Chase schrieb, dass die Veröffentlichung von Mason und Slidell ""war wie Galle und Wermut für mich."	"[52, 45, 49]"	48.66666667	"[-1.6914198455865197, -1.2163118960067345, -3.7132880371589465]"	-2.207006593	-0.351718962
3	Heavy arquebuses mounted on wagons were called arquebus à croc.	Schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.	"[61, 55, 85]"	67	"[-1.1951539386222017, -0.7129165922903007, -0.4917681450113435]"	-0.799946225	-0.432696015
4	"Once North Pacific salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively."	"Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper."	"[91, 89, 87]"	89	"[0.45906575125885857, 0.998627440345574, -0.31279481766981004]"	0.381632791	-0.39297536
5	"They engaged in crossfire at Guamaní River Bridge, Coamo and Silva Heights and finally at the Battle of Asomante."	"Sie verübten Kreuzfeuer an der Guamaní River Bridge, Coamo und Silva Heights und schließlich an der Schlacht von Asomante."	"[61, 58, 88]"	69	"[-1.1951539386222017, -0.5618980011753706, -0.2233081539990433]"	-0.660120031	-0.346494287
6	"Several WHA teams courted Gretzky, notably the Indianapolis Racers and the Birmingham Bulls."	"Mehrere WHA-Teams umworben Gretzky, insbesondere die Indianapolis Racers und die Birmingham Bulls."	"[100, 74, 88]"	87.33333333	"[0.9553316582231767, 0.24353448477092338, -0.2233081539990433]"	0.325185996	-0.215493545
7	16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.	"16 Penn State, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück."	"[58, 73, 88]"	73	"[-1.3605759076103077, 0.19319495439928003, -0.2233081539990433]"	-0.463563036	-0.322855145
8	"On 12 April 1983, the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark."	Am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City.	"[92, 69, 86]"	82.33333333	"[0.5142064075882272, -0.008163167087293482, -0.4022814813405768]"	0.034587253	-0.252926022
9	"After that, Chinese junks came to northern Borneo with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls."	"Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von Borneo."	"[59, 66, 85]"	70	"[-1.305435251280939, -0.1591817582022236, -0.4917681450113435]"	-0.652128385	-0.311306834
10	Sienna Miller portrays The Baroness as one of the primary antagonists of Stephen Sommers' 2009 film G.I.	Sienna Miller porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von Stephen Sommers 2009	"[73, 59, 66]"	66	"[-0.5334660626697776, -0.5115584708037272, -2.192014754755912]"	-1.079013096	-0.296893835
11	"The Roundhead besiegers made an effort to raise a new fort on Wall's furlong, but after some fighting with the Cavaliers they failed."	"Die Roundhead Belagerer bemühten sich, eine neue Festung auf Wall 's Furlong zu erheben, aber nach einigen Kämpfen mit den Cavaliers scheiterten sie."	"[91, 90, 88]"	89.66666667	"[0.45906575125885857, 1.0489669707172173, -0.2233081539990433]"	0.428241523	-0.377884001
12	"When legendary wrestler Jake Roberts advised Orton not to underestimate The Undertaker, Orton performed an RKO on Roberts as well."	"Als der legendäre Wrestler Jake Roberts Orton riet, The Undertaker nicht zu unterschätzen, führte Orton ebenfalls einen RKO auf Roberts durch."	"[56, 70, 63]"	63	"[-1.470857220269045, 0.04217636328434989, -2.460474745768212]"	-1.296385201	-0.258460641
13	"Meanwhile, US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in the Pusan Perimeter."	"Unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Matériel, um Verteidiger im Pusan Perimeter zu stärken."	"[100, 72, 100]"	90.66666667	"[0.2654514735602496, -0.9439568253313346, 0.8505318100501577]"	0.057342153	-0.26331988
