index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	José Ortega y Gasset visited Husserl at Freiburg in 1934.	José Ortega y Gasset besuchte 1934 Husserl in Freiburg.	[100, 100, 100]	100.0	[0.9553316582231767, 1.5523622744336512, 0.8505318100501577]	1.1194085809023286	-0.10244649648666382
13	Meanwhile, US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in the Pusan Perimeter.	In der Zwischenzeit entsandten US-Garnisonen in Japan kontinuierlich Soldaten und Matériel, um die Verteidiger im Pusan-Perimeter zu verstärken.	[100, 72, 100]	90.66666666666667	[0.2654514735602496, -0.9439568253313346, 0.8505318100501577]	0.05734215275969087	-0.2633198797702789
22	The HSBC also predicted that Vietnam's total GDP would surpass those of Norway, Singapore and Portugal by 2050.	Die HSBC prognostizierte auch, dass das gesamte BIP Vietnams bis 2050 das von Norwegen, Singapur und Portugal übertreffen würde.	[100, 100, 89]	96.33333333333333	[0.9553316582231767, 1.5523622744336512, -0.13382149032827656]	0.7912908141095172	-0.2912360429763794
24	He criticised speculative philosophy, equating metaphysics with ideology.	Er kritisierte die spekulative Philosophie und setzte Metaphysik mit Ideologie gleich.	[100, 84, 89]	91.0	[0.9553316582231767, 0.7469297884873571, -0.13382149032827656]	0.5228133187940858	-0.2438648194074631
26	Jackson appointed six justices to the Supreme Court.	Jackson ernannte sechs Richter zum Obersten Gerichtshof.	[100, 100, 87]	95.66666666666667	[0.9553316582231767, 1.5523622744336512, -0.31279481766981004]	0.7316330383290061	-0.3200836181640625
31	On 25 February 1991, Iraqi forces fired a Scud missile at an American barracks in Dhahran, Saudi Arabia.	Am 25. Februar 1991 feuerten irakische Truppen eine Scud-Rakete auf eine amerikanische Kaserne in Dhahran, Saudi-Arabien.	[100, 81, 97]	92.66666666666667	[0.2654514735602496, -0.0754366785097826, 0.5820718190378574]	0.2573622046961081	-0.222041130065918
32	The 1990s were plagued by armed conflicts in the North Caucasus, both local ethnic skirmishes and separatist Islamist insurrections.	Die neunziger Jahre waren von bewaffneten Konflikten im Nordkaukasus geplagt, sowohl von lokalen ethnischen Scharmützeln als auch von separatistischen islamistischen Aufständen.	[100, 80, 95]	91.66666666666667	[0.9553316582231767, 0.5455716670007836, 0.40309849169632395]	0.6346672723067615	-0.27178800106048584
35	"3, April 1947 ""Zorro's Strange Duel"", West Magazine Vol."	"3. April 1947 ""Zorros seltsames Duell"", West Magazine Vol."	[100, 93, 85]	92.66666666666667	[0.9553316582231767, 1.1999855618321476, -0.4917681450113435]	0.5545163583479936	-0.19581378996372226
41	Sara then flees; Alex later calls Sebastian, further attempting to incriminate Sara.	Sara flieht dann;	[100, 70, 100]	90.0	[0.2654514735602496, -1.2608678885313718, 0.8505318100501577]	-0.04829486830698818	-0.5476986169815063
46	The Ottomans invaded Wallachia to restore Basarab Laiotă.	Die Osmanen fielen in die Walachei ein, um Basarab Laiotă wiederherzustellen.	[100, 86, 92]	92.66666666666667	[0.2654514735602496, 1.2744206170689254, 0.1346385006840237]	0.5581701971043995	-0.22369317710399628
50	Saaphyri then calls up Prancer and hands her the check, and Prancer cries and hugs her.	Saaphyri ruft dann Prancer an und gibt ihr den Scheck, und Prancer weint und umarmt sie.	[100, 97, 99]	98.66666666666667	[0.2654514735602496, 0.5820718190378574, 3.334342527869167]	1.3939552734890912	-0.2813987731933594
52	Nadal withdrew from the American swing owing to a wrist injury.	Nadal zog sich wegen einer Handgelenksverletzung vom amerikanischen Schwung zurück.	[100, 83, 100]	94.33333333333333	[0.2654514735602496, 0.7990540222688698, 0.37321150863630664]	0.4792390014884753	-0.32916539907455444
64	Memorable Providence, Relating to Witchcraft and Possessions.	Denkwürdige Vorsehung in Bezug auf Hexerei und Besitz.	[100, 82, 91]	91.0	[0.2654514735602496, 0.14575458522479776, 0.16777264375646253]	0.19299290084716994	-0.26737967133522034
65	A few years later Ford developed the Model 18 with the 221 CID flathead V8.	Einige Jahre später entwickelte Ford das Modell 18 mit dem 221 CID Flathead V8.	[100, 81, 96]	92.33333333333333	[0.2654514735602496, 0.05066851252855241, 0.43120185054556315]	0.24910727887812176	-0.2155550867319107
68	A third, more personal quotation adds additional subtext.	Ein drittes, persönlicheres Zitat fügt zusätzlichen Untertext hinzu.	[100, 100, 95]	98.33333333333333	[0.2654514735602496, 0.8505318100501577, 0.6796283765763332]	0.5985372200622469	-0.3180525004863739
71	In 1919, Prohibitionists succeeded in amending the Constitution to prohibit the sale of alcohol.	1919 gelang es den Prohibitionisten, die Verfassung dahingehend zu ändern, dass der Verkauf von Alkohol verboten wurde.	[100, 96, 92]	96.0	[0.2654514735602496, 2.8589759330691114, 0.1346385006840237]	1.0863553024377952	-0.18959105014801025
73	After one short touchdown drive, the Colts recovered the onside kick.	Nach einer kurzen Touchdown-Fahrt erholten sich die Colts den Onside-Kick.	[100, 86, 93]	93.0	[0.2654514735602496, 0.5260988760097791, 0.2731443264721028]	0.35489822534737714	-0.6531392931938171
77	Females of the largest, the grey tinamou, weigh up to 2 kg with a length of up to 49 cm.	Die größten Frauen, die grauen Tinamou, wiegen bis zu 2 kg und sind bis zu 49 cm lang.	[100, 93, 80]	91.0	[0.2654514735602496, 0.22412516435479046, 0.323687427468814]	0.27108802179461805	-0.3519564867019653
84	1979 Prints from Paris, 9 Contemporary Printmakers, The Ruskin School of Drawing and Fine Art, Oxford University, United Kingdom.	1979 Drucke aus Paris, 9 zeitgenössische Druckgrafiker, Ruskin School of Drawing and Fine Art, Universität Oxford, Großbritannien.	[100, 80, 91, 100, 100, 100]	95.16666666666667	[0.2654514735602496, -0.04441756016769294, 0.04515183701325695, 1.1216191016511512, 1.214968665278659, 1.0987116526053302]	0.6169141949901591	-0.3011500835418701
86	Paired with Bryson DeChambeau in the Friday afternoon foursomes, they lost 5 and 4 to Europe's Sergio García and Alex Norén.	Zusammen mit Bryson DeChambeau verloren sie am Freitagnachmittag zu viert 5 und 4 gegen die Europäer Sergio García und Alex Norén.	[100, 82, 91]	91.0	[0.2654514735602496, 0.14575458522479776, 0.18308283009560491]	0.19809629629355074	-0.313228964805603
88	The southern flank flows at first proceeded along a gully before spreading out.	Die Südflankenströme verliefen zunächst entlang einer Schlucht, bevor sie sich ausbreiteten.	[100, 82, 72, 100, 90, 100]	90.66666666666667	[0.2654514735602496, 0.14575458522479776, -1.6550947727313112, 1.1216191016511512, 0.7990852558407435, 1.0987116526053302]	0.2959212160251601	-0.3946575224399567
90	Ezekiel convinces him to march with them to Alexandria.	Hesekiel überredet ihn, mit ihnen nach Alexandria zu marschieren.	[100, 82, 100]	94.0	[0.2654514735602496, 0.14575458522479776, 0.6946992867901757]	0.3686351151917411	-0.2096276879310608
94	Some other later trilobites also lost facial sutures secondarily.	Einige andere spätere Trilobiten verloren ebenfalls sekundär Gesichtsnähte.	[93, 85, 100]	92.66666666666667	[1.2122151408057047, 1.115965085468907, 0.2654514735602496]	0.8645438999449538	-0.4512428939342499
