index	original	translation	scores	mean	z_scores	z_mean	model_scores
2	"În 1979, sovieticii au invadat Afghanistan, iar SUA sprijinea grupările musulmane rebele împotrivă sovieticilor."	"In 1979, the Soviets invaded Afghanistan, and the United States supported rebel Muslim groups against the Soviets."	"[93, 100, 100]"	97.66666667	"[1.0798029793660062, 1.0690255985932648, 1.031651381875285]"	1.060159987	-0.175483972
6	"Are o industrie turistică bine dezvoltată, fiind o destinație populară printre turiștii britanici și germani."	"It has a well-developed tourism industry, being a popular destination among British and German tourists."	"[100, 100, 100]"	100	"[1.0259160246377157, 1.119444292482282, 1.1112943359682248]"	1.085551551	-0.177655593
7	Femeile sunt mai numeroase după vârsta de 30 de ani.	Women are more numerous after the age of 30.	"[100, 95, 96]"	97	"[0.8333627005754242, 0.8839041248748553, 1.100956019702443]"	0.939407615	-0.215460345
8	"În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați."	"In May 1915, Italy invaded Austria and lost 200,000 soldiers."	"[100, 93, 97]"	96.66666667	"[1.2393695797059907, 1.0787382953162328, 0.9332482714713641]"	1.083785382	-0.136905968
10	"Eșecul din Vietnam și scandalul Watergate au dus la o reevaluare a identității naționale și culturale, mai ales de către cei tineri."	"The failure in Vietnam and the Watergate scandal have led to a reassessment of national and cultural identity, especially by young people."	"[100, 94, 97]"	97	"[0.8333627005754242, 0.8468798301311734, 1.13555940970333]"	0.938600647	-0.184060901
14	"După pierderea uneia din bătălii în cadrul războiului civil, Antoniu părăsește Italia."	"After losing one of the battles in the civil war, Antoniu leaves Italy."	"[100, 100, 98]"	99.33333333	"[1.119444292482282, 0.8333627005754242, 0.8928336080497934]"	0.948546867	-0.209754825
27	"În perioade interbelică, doar un mic număr de tineri au fost încorporați."	"In the interwar period, only a small number of young people were incorporated."	"[96, 98, 100]"	98	"[0.9771075469752267, 1.1816371657173415, 1.0690255985932648]"	1.075923437	-0.313009709
34	Guvernul olandez a refuzat încă odată o asemenea cerere	The Dutch government has once again refused such a request	"[90, 100, 100]"	96.66666667	"[0.9649799118509909, 0.8333627005754242, 1.0259160246377157]"	0.941419546	-0.257781297
35	"Având o datorie externă de circa 20 de miliarde de dolari, guvernul a făcut la 1 iulie 1980 a recurs la o nouă majorare a prețurilor la carne."	"With an external debt of about $ 20 billion, the government resorted to a further increase in meat prices on July 1, 1980."	"[100, 100, 100]"	100	"[0.8333627005754242, 1.0259160246377157, 1.119444292482282]"	0.992907673	-0.256299764
36	"În 1938, Hitler anexează Austria și o parte a Cehoslovaciei."	"In 1938, Hitler annexed Austria and part of Czechoslovakia."	"[96, 98, 100]"	98	"[1.203790472239981, 0.9540873320009072, 1.0690255985932648]"	1.075634468	-0.188833907
45	"De asemenea, 400 de civili norvegieni au fost uciși, în special în timpul raidurilor aviației germane."	"400 Norwegian civilians were also killed, mainly during German air raids."	"[91, 94, 100]"	95	"[0.9279390696980083, 1.1166577564713134, 1.0259160246377157]"	1.023504284	-0.370684862
50	Extractele din această plantă au proprietăți antibiotice asupra unor germeni patogeni.	Extracts from this plant have antibiotic properties on pathogenic germs.	"[91, 94, 100]"	95	"[0.9279390696980083, 1.1166577564713134, 0.8333627005754242]"	0.959319842	-0.216106459
