index	original	translation	scores	mean	z_scores	z_mean	model_scores
1	Guvernul numește un prefect în fiecare județ pentru a fi reprezentantul său local.	The government appoints a prefect in each county to be its local representative.	[93, 86, 100]	93.0	[0.9971458496997823, 0.48870303275464033, 1.0690255985932648]	0.8516248270158959	-0.2045692354440689
2	În 1979, sovieticii au invadat Afghanistan, iar SUA sprijinea grupările musulmane rebele împotrivă sovieticilor.	In 1979, the Soviets invaded Afghanistan, and the United States supported rebel Muslim groups against the Soviets.	[93, 100, 100]	97.66666666666669	[1.0798029793660062, 1.0690255985932648, 1.031651381875285]	1.0601599866115186	-0.17548397183418274
3	O treime din casele sale au fost avariate sau distruse, iar orașul a pierdut jumătate din populație.	One third of its homes were damaged or destroyed, and the city lost half its population.	[100, 84, 92]	92.0	[1.0484593129562183, 0.4111389828802625, 0.7728312406438095]	0.7441431788267634	-0.202069029211998
4	Înaintea introducerii tramvaiului la Galați se circula cu trăsuri, omnibuze și tramcare, după modelul celor din București.	Before the introduction of the tram in Galați, there were cars, omnibuses and trams, following the model of those in Bucharest.	[82, 91, 100]	91.0	[0.3335749330058847, 0.7358069459001276, 0.8333627005754242]	0.6342481931604788	-0.3712127506732941
6	Are o industrie turistică bine dezvoltată, fiind o destinație populară printre turiștii britanici și germani.	It has a well-developed tourism industry, being a popular destination among British and German tourists.	[100, 100, 100]	100.0	[1.0259160246377157, 1.119444292482282, 1.1112943359682248]	1.0855515510294076	-0.17765559256076813
7	Femeile sunt mai numeroase după vârsta de 30 de ani.	Women are more numerous after the age of 30.	[100, 95, 96]	97.0	[0.8333627005754242, 0.8839041248748553, 1.100956019702443]	0.9394076150509076	-0.21546034514904025
8	În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați.	In May 1915, Italy invaded Austria and lost 200,000 soldiers.	[100, 93, 97]	96.66666666666669	[1.2393695797059907, 1.0787382953162328, 0.9332482714713641]	1.0837853821645291	-0.1369059681892395
10	Eșecul din Vietnam și scandalul Watergate au dus la o reevaluare a identității naționale și culturale, mai ales de către cei tineri.	The failure in Vietnam and the Watergate scandal have led to a reassessment of national and cultural identity, especially by young people.	[100, 94, 97]	97.0	[0.8333627005754242, 0.8468798301311734, 1.13555940970333]	0.9386006468033092	-0.18406090140342712
11	"Termenul ""bolnavul Europei"" ilustrează destul de exact aceste stări de fapt."	"The term ""Europe's patient"" illustrates these facts quite accurately."	[92, 91, 93]	92.0	[0.7788020161941114, 0.7358069459001276, 0.6779108055270636]	0.7308399225404342	-0.2395255267620087
13	La începutul anilor 1960, președintele Kennedy întruchipa speranța edificării unei Americi prospere.	In the early 1960s, President Kennedy embodied the hope of building a prosperous America.	[83, 100, 92]	91.66666666666669	[0.176846306119864, 1.031651381875285, 0.9625424596988953]	0.7236800492313481	-0.2363539934158325
14	După pierderea uneia din bătălii în cadrul războiului civil, Antoniu părăsește Italia.	After losing one of the battles in the civil war, Antoniu leaves Italy.	[100, 100, 98]	99.33333333333331	[1.119444292482282, 0.8333627005754242, 0.8928336080497934]	0.9485468670358332	-0.2097548246383667
16	Toate aranjamentele necesare refugiului făcuseră făcute mai înainte de declanșarea invaziei germane.	All necessary arrangements for the refuge had been made before the German invasion began.	[100, 100, 82]	94.0	[0.8333627005754242, 1.0259160246377157, 0.4789289377005333]	0.7794025543045578	-0.37866368889808655
18	Peste 3,5 milioane de francezi au votat pentru instaurarea imperiului și modificarea constituției.	More than 3.5 million French people voted for the establishment of the empire and the amendment of the constitution.	[77, 100, 100]	92.33333333333331	[0.1396648083199402, 1.0690255985932648, 0.8333627005754242]	0.6806843691628764	-0.21987327933311465
22	Mai mult chiar, forțele coloniale au luptat, cel puțin până când au hotărât să părăsească tabăra italienilor, cu foarte mare hotărâre.	Moreover, the colonial forces fought, at least until they decided to leave the camp of the Italians, with great determination.	[88, 93, 91]	90.66666666666669	[0.8241288996953475, 1.0787382953162328, 0.9336646873562946]	0.9455106274559584	-0.2291734665632248
27	În perioade interbelică, doar un mic număr de tineri au fost încorporați.	In the interwar period, only a small number of young people were incorporated.	[96, 98, 100]	98.0	[0.9771075469752267, 1.1816371657173415, 1.0690255985932648]	1.0759234370952775	-0.31300970911979675
32	În cadrul amplei mișcări a modernismului, Kafka este identificat adesea cu două mari curente, expresionismul și suprarealismul.	In the broad movement of modernism, Kafka is often identified with two major currents, expressionism and surrealism.	[84, 100, 92]	92.0	[0.7078405007440819, 0.8333627005754242, 1.0408188341611522]	0.8606740118268861	-0.4335995316505432
33	Existau circa 1800 de evrei în Norvegia, deja persecutați de naziștii norvegieni.	There were about 1,800 Jews in Norway, already persecuted by the Norwegian Nazis.	[90, 100, 92]	94.0	[0.8933356796971215, 0.8333627005754242, 1.1553353577991297]	0.9606779126905586	-0.13255435228347778
34	Guvernul olandez a refuzat încă odată o asemenea cerere	The Dutch government has once again refused such a request	[90, 100, 100]	96.66666666666669	[0.9649799118509909, 0.8333627005754242, 1.0259160246377157]	0.9414195456880436	-0.2577812969684601
35	Având o datorie externă de circa 20 de miliarde de dolari, guvernul a făcut la 1 iulie 1980 a recurs la o nouă majorare a prețurilor la carne.	With an external debt of about $ 20 billion, the government resorted to a further increase in meat prices on July 1, 1980.	[100, 100, 100]	100.0	[0.8333627005754242, 1.0259160246377157, 1.119444292482282]	0.9929076725651408	-0.25629976391792303
36	În 1938, Hitler anexează Austria și o parte a Cehoslovaciei.	In 1938, Hitler annexed Austria and part of Czechoslovakia.	[96, 98, 100]	98.0	[1.203790472239981, 0.9540873320009072, 1.0690255985932648]	1.0756344676113845	-0.1888339072465897
39	Germanii au folosit resursele Estoniei în efortul lor de război; pe durata ocupației, Estonia a fost incorporată în provincia nazistă Ostland.	"The Germans used Estonia's resources in their war effort;
 during the occupation, Estonia was incorporated into the Nazi province of Ostland."	[81, 99, 97]	92.33333333333331	[0.7615093399106686, 0.9950267735822652, 0.9579527143622191]	0.9048296092850509	-0.2806578874588013
41	În interiorul parcului există un teatru de vară, un trenuleț pentru copii cu linie îngustă, un restaurant construit undeva la începutul secolului XX.	Inside the park there is a summer theater, a narrow-gauge children's train, a restaurant built somewhere in the early twentieth century.	[90, 80, 100]	90.0	[0.9649799118509909, 0.32853970371962643, 0.783766770321848]	0.6924287952974885	-0.2144688963890076
45	De asemenea, 400 de civili norvegieni au fost uciși, în special în timpul raidurilor aviației germane.	400 Norwegian civilians were also killed, mainly during German air raids.	[91, 94, 100]	95.0	[0.9279390696980083, 1.1166577564713134, 1.0259160246377157]	1.0235042836023458	-0.3706848621368408
48	Mai târziu, Bloom obține și ea puterea Bloomix după ce a căzut în vârtejul de flăcări.	Later, Bloom also gains the power of Bloomix after falling into the whirlpool of flames.	[86, 93, 100]	93.0	[0.6129338655036903, 0.7730753262464845, 0.8333627005754242]	0.7397906307751997	-0.4049468338489533
49	Adunarea a înființat un comitet care a demonstrat cât de gravă era problema, concluzionând că 2 milioane de oameni se puteau întreține numai cerșind.	The assembly set up a committee that demonstrated how serious the problem was, concluding that 2 million people could support themselves by begging alone.	[74, 100, 100]	91.33333333333331	[0.5108927830725571, 1.0259160246377157, 1.0690255985932648]	0.8686114687678459	-0.2314554750919342
50	Extractele din această plantă au proprietăți antibiotice asupra unor germeni patogeni.	Extracts from this plant have antibiotic properties on pathogenic germs.	[91, 94, 100]	95.0	[0.9279390696980083, 1.1166577564713134, 0.8333627005754242]	0.9593198422482486	-0.21610645949840546
55	De asemenea, coreenii au acționat adesea în calitate de mediator în comerțul cu armament între Iran și restul statelor din blocul comunist.	Koreans have also often acted as mediators in the arms trade between Iran and the rest of the communist bloc.	[89, 90, 91]	90.0	[0.6050491075662071, 0.9558154864920314, 0.8001232917416224]	0.7869959619332869	-0.18530459702014926
57	), idea a avut de acum un caracter mai pronunțat cultural.	), the idea has now had a more pronounced cultural character.	[100, 100, 100]	100.0	[1.126291054430693, 1.4417542798998286, 1.2524864452490692]	1.273510593193197	-0.35073792934417725
65	La Savannah, capitală Georgiei, organizația revoluționară a preluat conducerea orașului.	In Savannah, the capital of Georgia, the revolutionary organization took over the city.	[95, 93, 100]	96.0	[1.0663526297015562, 1.0798029793660062, 0.9609931851748625]	1.0357162647474751	-0.12792246043682098
70	Luxemburgul a fost eliberat de trupelele aliate la sfârșitul anului 1944.	Luxembourg was liberated by Allied troops at the end of 1944.	[100, 94, 81]	91.66666666666669	[1.0259160246377157, 0.8468798301311734, 0.2622081262757357]	0.7116679936815417	-0.18609213829040527
72	Cele 12 regiuni statistice nu au nicio funcție administrativă și sunt împărțite în două macroregiuni în scopul politicii regionale a Uniunii Europene.	The 12 statistical regions have no administrative function and are divided into two macro-regions for the purpose of the European Union's regional policy.	[100, 100, 100]	100.0	[1.0255927455802585, 0.9845341654844935, 0.8333627005754242]	0.9478298705467254	-0.18830081820487976
76	Alte mari sunt aglomerările urbane centrate în , , , și .	Other large are urban agglomerations centered in,,, and.	[93, 86, 100]	93.0	[0.9971458496997823, 0.5819247609861364, 0.9424550146868682]	0.8405085417909289	-0.2802142798900604
81	Celelalte persoane acuzate, au suferit rigorile detenției și familiile lor trăiau în mari lipsuri financiare.	The other accused persons suffered the rigors of detention and their families lived in great financial deprivation.	[98, 100, 73]	90.33333333333331	[0.7710239197049649, 0.8333627005754242, 0.2960211715707458]	0.6334692639503783	-0.3735742568969727
82	În unele zone, apele de coastă sunt poluate, mai ales în preajma complexului industrial de la Sillamäe.	In some areas, coastal waters are polluted, especially near the Sillamäe industrial complex.	[98, 100, 95]	97.66666666666669	[1.170162799704217, 0.8333627005754242, 1.162461307948656]	1.0553289360760991	-0.24756816029548645
83	La fel precum campania din sud, și expediția de la Narvik a trebuit să facă față la numeroase obstacole.	Like the southern campaign, the Narvik expedition had to face many obstacles.	[97, 99, 100]	98.66666666666669	[1.13555940970333, 1.0767197754986022, 0.8333627005754242]	1.0152139619257854	-0.35373735427856445
84	În 1971 un lot important de vechi drapele a trecut în patrimoniul Muzeului Național de Istorie.	In 1971 an important batch of old flags passed into the patrimony of the National Museum of History.	[91, 84, 95]	90.0	[0.7485442438325943, 0.4111389828802625, 0.8839041248748553]	0.6811957838625706	-0.2432659864425659
87	Astfel, statele au recurs la credit, împrumutând bani de la bancheri.	Thus, the states resorted to credit, borrowing money from bankers.	[82, 89, 100]	90.33333333333331	[0.3335749330058847, 0.9144863222007066, 0.8333627005754242]	0.6938079852606718	-0.4005902707576752
88	Mortimore din Royal Navy a condus un tanc Mark I în timpul Bătăliei de pe Somme, pe 15 septembrie 1916.	Mortimore of the Royal Navy led a Mark I tank during the Battle of the Somme on September 15, 1916.	[100, 100, 100]	100.0	[1.119444292482282, 1.2524864452490692, 1.0690255985932648]	1.146985445441539	-0.17872457206249234
93	După 1945 are loc decolonizarea, iar Europa este divizată între sferele SUA și URSS.	After 1945, decolonization took place, and Europe was divided between the spheres of the USA and the USSR.	[100, 100, 100]	100.0	[1.0690255985932648, 1.031651381875285, 1.4417542798998286]	1.180810420122793	-0.21401238441467285
101	În perioada dintre cele două războaie mondiale sportivii români au obținut primele victorii în concursurile internaționale.	In the period between the two world wars, the Romanian athletes obtained the first victories in the international competitions.	[100, 94, 94]	96.0	[1.031651381875285, 0.8405805183050125, 1.1211321436573312]	0.997788014612543	-0.2928395867347717
104	Această schimbare masivă a făcut ca acumularea și schimbul de experiență să fie imposibile.	This massive change has made accumulation and exchange of experience impossible.	[94, 100, 100]	98.0	[0.9734478618669625, 1.031651381875285, 0.8333627005754242]	0.946153981439224	-0.2185388803482056
105	Magnitudinea decesului statistic depinde de numărul persoanelor afectate de contramăsură.	The magnitude of the statistical death depends on the number of people affected by the countermeasure.	[87, 100, 100]	95.66666666666669	[0.7895255096944607, 0.8333627005754242, 0.9609931851748625]	0.8612937984815824	-0.24225743114948275
106	Aceste atacuri concentrice ar fi trebuit să distrugă armata sârbă în centrul țării.	These concentric attacks should have destroyed the Serbian army in the center of the country.	[95, 100, 81]	92.0	[1.0663526297015562, 1.031651381875285, 0.5838530078701071]	0.8939523398156495	-0.2544073462486267
109	Populația Maltei era în iulie 2011 estimată la 408.000 de locuitori.	Malta's population in July 2011 was estimated at 408,000 inhabitants.	[100, 98, 100]	99.33333333333331	[0.8333627005754242, 1.286448800822631, 0.9204040350903382]	1.0134051788294645	-0.19780758023262024
112	Austriecii au încercat și convertirea la catolicism a populației.	The Austrians also tried to convert the population to Catholicism.	[85, 93, 100]	92.66666666666669	[0.7203187296926867, 1.0787382953162328, 1.0259160246377157]	0.9416576832155452	-0.4290314912796021
113	III./JG 1 a pierdut de asemenea cel puțin două Fw 190 din același motiv.	III./JG 1 also lost at least two Fw 190s for the same reason.	[94, 100, 92]	95.33333333333331	[0.8468798301311734, 1.031651381875285, 1.1553353577991297]	1.0112888566018627	-0.11996916681528093
115	Benito Mussolini a fost ucis de partizanii italieni pe 28 aprilie.	Benito Mussolini was killed by Italian partisans on April 28.	[71, 100, 99]	90.0	[0.403485687284795, 1.0259160246377157, 1.032001303849583]	0.8204676719240312	-0.1074655055999756
117	În iunie 1944 fuseseră produse doar 50.800 t față de 180.000 t planificate.	By June 1944, only 50,800 tons had been produced, compared to the planned 180,000 tons.	[80, 100, 90]	90.0	[0.4077605649470057, 0.8333627005754242, 0.6201952995495169]	0.620439521690649	-0.2486627548933029
122	În țară sunt înmatriculate 2,5 milioane de autoturisme și 400.000 de alte vehicule.	2.5 million cars and 400,000 other vehicles are registered in the country.	[86, 93, 100]	93.0	[0.9405211662236055, 0.8703549878449353, 0.8333627005754242]	0.8814129515479884	-0.18407990038394928
