index	original	translation	scores	mean	z_scores	z_mean	model_scores
6975	He vacated the NE0 title in April 2002 after returning to NE1.	Nach seiner Rückkehr zum NE1 verließ er im April 2002 den Titel NE0.	[1, 13, 24]	12.666666666666666	[-9.000885564931252, -10.29283318973243, -3.332073285785744]	-7.541930680149808	-0.3605729043483734
2080	NE2 and NE3, Proceedings of International Colloquium on Structural Engineering, Cairo, Egypt, April 1992, pp.	NE2 and NE3, Proceedings of International Colloquium on Structure Engineering, Cairo, Egypt, April 1992, pp.	[1, 1, 1]	1.0	[-9.000885564931252, -8.00864789335575, -4.5739530784473486]	-7.194495512244783	-0.24092458188533786
6229	NE4 North Star Osage Ozark Trailblazers Pathfinder River Trails Thunderbird	NE4 North Star Osage Ozark Trailblazers Pathfinder River Trails Thunderbird	[1, 1, 1]	1.0	[-9.000885564931252, -7.556217303171075, -4.5739530784473486]	-7.043685315516559	-0.061312459409236915
2214	NE5.	NE5.	[1, 1, 1]	1.0	[-8.00864789335575, -7.556217303171075, -4.933081736850102]	-6.832648977792308	-0.22093158960342407
1846	NE6, NE7, IFWG PublishinNE8	NE6, NE7, NE8.	[1, 1, 1]	1.0	[-8.00864789335575, -7.556217303171075, -4.933081736850102]	-6.832648977792308	-0.12904708087444305
2163	Pollock, NE9, Generations and Geographies in the Visual Arts, Routledge, London, 1996.	Pollock, NE9, Generations and Geographies in the Visual Arts, Routledge, London, 1996.	[1, 1, 1]	1.0	[-8.00864789335575, -7.556217303171075, -4.933081736850102]	-6.832648977792308	-0.13844096660614014
2604	"NE10, ""Indian Wars"", NE11 Home Page Viele, John.NE12"	"NE10, ""Indian Wars"", NE11 Home Page Viele, NE12."	[4, 3, 1]	2.6666666666666665	[-7.74018790234345, -7.366045157778585, -4.933081736850102]	-6.679771598990714	-0.16763374209403992
1364	154 NE13 and his NE14	154 NE13 and his NE14	[9, 1, 16]	8.666666666666666	[-8.252090652729919, -8.00864789335575, -3.675635088303992]	-6.645457878129887	-0.1505301296710968
1279	NE15 inspires complete admiration and lust in both Fyodor and NE16.	NE15 begeistert sowohl bei Fjodor als auch NE16 völlige Bewunderung und Lust.	[11, 1, 20]	10.666666666666666	[-8.064891924679586, -7.556217303171075, -3.572922092648766]	-6.398010440166477	-0.3543107211589813
6130	The Benevolent Asylum fronted present Railway Square.	Die Wohlwollende Asyl fronted gegenwärtigen Railway Square.	[32, 30, 28]	30.0	[-6.099305280151086, -7.599089152532115, -5.65199612440971]	-6.450130185697637	-0.573100745677948
4994	NE17 in the NE18 fellows	NE17 in the NE18 Fellows	[1, 8, 15]	8.0	[-8.00864789335575, -6.890614794297358, -4.137233915325214]	-6.34549886765944	-0.09233444184064864
3172	Wild boar may on occasion contract swine erysipelas through rodents or hog lice and ticks.	Wildschwein kann gelegentlich Schweine Erysipel durch Nagetiere oder Schweine Läuse und Zecken Vertrag.	[21, 7, 14]	14.0	[-7.128898284427919, -7.409348350714797, -4.838612074688062]	-6.458952903276926	-0.4118495583534241
423	Their krises are gilt, and also the point of their lances.	Ihre Aufgänge sind vergoldet, und auch der Punkt ihrer Lanzen.	[12, 1, 22]	11.666666666666666	[-7.971292560654419, -7.556217303171075, -3.467550409933126]	-6.331686757919539	-0.4293419420719147
1016	In the Second Branch of the NE19, he seizes the throne from NE20 ap Bran during BranNE21ampaigns in Ireland.	In der zweiten Zweig der NE19, ergreift er den Thron von NE20 ap NE21 während Bran Kampagnen in Irland.	[12, 1, 23]	12.0	[-7.971292560654419, -7.556217303171075, -3.4148645685753056]	-6.3141248108002666	-0.2832818627357483
979	Later in the month she hosted NE22 of 802 and the Fireflies of 814 Squadrons for Exercise Winged Fleet.	Später im Monat war sie Gastgeberin NE22 von 802 und der Glühwürmchen von 814 Squadrons für die Übung Geflügelte Flotte.	[13, 1, 25]	13.0	[-7.877693196629252, -7.556217303171075, -3.3094928858596657]	-6.247801128553331	-0.3446216285228729
4085	Dopamine is also synthesized there, by tubule cells, and discharged into the tubular fluid.	Dort wird auch Dopamin durch Schlauchzellen synthetisiert und in die Rohrflüssigkeit abgeleitet.	[15, 1, 28]	14.666666666666666	[-7.690494468578919, -7.556217303171075, -3.151435361786205]	-6.132715711178732	-0.4358044862747192
6797	NE23 to the Stars Worst Maneuvers in History!?	Die Flügel des Lichts wirbeln zu den Sternen schlechteste Manöver in der Geschichte!?	[12, 20, 3]	11.666666666666666	[-7.971292560654419, -6.3214636391926, -4.400542105395953]	-6.231099435080991	-0.32488763332366943
4399	Wheeler’s Dental Anatomy, Physiology, and Occlusion.	Wheeler sucht Zahnanatomie, Physiologie und Okklusion.	[14, 15, 16]	15.0	[-7.784093832604086, -6.755834601965016, -3.675635088303992]	-6.071854507624365	-0.3137657940387726
