index	text_a	text_b	predictions
0	După doar 200 de metri, ajungem la Foișorul Bătrânei, acoperit cu brădet tânăr și rărit, de unde se poate admira priveliștea.	Only 200 metres later, we arrive at the Former Bandy, covered with young rind, from where to admit the cloak.	-1.283043282728901
1	Guvernul numește un prefect în fiecare județ pentru a fi reprezentantul său local.	The Government appoints a prefect to each county to be its local representative.	0.7250712368272832
2	În 1979, sovieticii au invadat Afghanistan, iar SUA sprijinea grupările musulmane rebele împotrivă sovieticilor.	In 1979, the Soviets invaded Afghanistan and the US supported rebel Muslim groups against the Soviets.	0.7118002933017169
3	O treime din casele sale au fost avariate sau distruse, iar orașul a pierdut jumătate din populație.	One third of his homes have been damaged or destroyed, and the city has lost half of the population.	0.6642369551401898
4	Înaintea introducerii tramvaiului la Galați se circula cu trăsuri, omnibuze și tramcare, după modelul celor din București.	Before the tram was introduced in Galats it worked with betrams, omnibuses and tramels, similar to those in Bucharest.	-0.3018948549448487
5	A doua zi, gărzile de la depozitul din Concord au fost avertizate.	The day two, the fences at the connection site were warned.	0.11198712107964252
6	Are o industrie turistică bine dezvoltată, fiind o destinație populară printre turiștii britanici și germani.	It has a well-developed tourist industry as a popular destination among British and German tourists.	0.6881052731457469
7	Femeile sunt mai numeroase după vârsta de 30 de ani.	Women are more numerous after the age of 30.	0.7465731989764095
8	În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați.	In May 1915, Italy invaded Austria and lost 200 000 soldiers.	0.7279574862324761
9	Tratatul de Aderare fusese semnat la 16 aprilie 2003.	The Accession Treaty had been signed on 16 April 2003.	0.6748121214378326
10	Eșecul din Vietnam și scandalul Watergate au dus la o reevaluare a identității naționale și culturale, mai ales de către cei tineri.	The failure in Vietnam and the Watergate scandal have led to a reassessment of national and cultural identity, especially by young people.	0.653797999027613
11	"Termenul ""bolnavul Europei"" ilustrează destul de exact aceste stări de fapt."	The term 'sick of Europe' illustrates quite precisely these states of fact.	0.5206662381709687
12	Socialiștii moderați au intrat atunci în guvern, susținuți de majoritatea muncitorilor care credeau că pot face presiuni pentru a opri războiul.	Moderate Socialists then entered the government, supported by the majority of workers who thought they could put pressure to stop the war.	0.6735225663161714
13	La începutul anilor 1960, președintele Kennedy întruchipa speranța edificării unei Americi prospere.	In the early 1960s, President Kennedy embodied the hope of a prosperous American building.	0.24581666302565394
14	După pierderea uneia din bătălii în cadrul războiului civil, Antoniu părăsește Italia.	After the loss of one of the battles in the civil war, Antoniu is leaving Italy.	0.6187667381649411
15	Pe 13 mai, Corpul XIX german a forțat traversarea râului în trei puncte lângă Sedan.	On 13 May, the German Corp. XIX forced through the River at three points near Sedan.	0.029143346249501264
16	Toate aranjamentele necesare refugiului făcuseră făcute mai înainte de declanșarea invaziei germane.	All the necessary arrangements for refuge had been made before the German invasion started.	0.6643971501621916
17	II./SG a raportat 27 de avioane Fw 190 gata de zbor.	II. / SG reported 27 aeroplanes Fw 190 ready to fly.	0.3756407372034191
18	Peste 3,5 milioane de francezi au votat pentru instaurarea imperiului și modificarea constituției.	More than 3.5 million French people voted to introduce the empire and amend the constitution.	0.6474164038027022
19	Germania Nazistă a ocupat în întregime teritoriul olandez.	Nazist Germany has occupied entirely Dutch territory.	0.3695956699683518
20	Și în cazul habsburgilor era aplicat un regim de reciprocitate.	Also in the case of absconds there was a reciprocity regime in place.	-0.9230059701475476
21	Turnul a fost distrus de cutremur, trebuind să fie recunstruit în anii următori.	The earthquake destroyed the pole, having to be reunified in the years to come.	-0.607612508076282
22	Mai mult chiar, forțele coloniale au luptat, cel puțin până când au hotărât să părăsească tabăra italienilor, cu foarte mare hotărâre.	Moreover, colonial forces fought, at least until they decided to leave the Italian camp with great determination.	0.6065257361093904
23	Numărul mare de avioane de vânătoare trimise în misiuni împotriva avioanelor de recunoaștere nu a fost o greșeală.	There was no mistake in the large number of hunting aeroplanes deployed in missions against recognition aeroplanes.	0.17867007564257467
24	Astfel el călătorește în trecut și o salvează pe Ahsoka.	He is thus travelling in the past and saving Ahsoka.	0.49320848567981324
25	Limba greacă a rămas după declinul imperiului roman drept limba oficială a Imperiului Bizantin.	The Greek language remained after the decline of the Roman empire as the official language of the Bizantin Empire.	0.6411183853706937
26	Teatrul are o tradiție bogată în Slovenia, începând cu primul spectacol de teatru în limba slovenă din 1867.	The theatre has a tradition rich in Slovenia, starting with the first theatre performance in Slovenian since 1867.	-0.005286443007918051
27	În perioade interbelică, doar un mic număr de tineri au fost încorporați.	In interwar periods, only a small number of young people were incorporated.	0.7146565616607403
28	Aceste tunuri belgine erau mai bune decât piesele antitanc de 25 mm ale francezilor, sau cele de 37 mm ale germanilor.	These bellows were better than the 25 mm anti-tank parts of the French, or 37 mm of the Germans.	-0.3953933753927125
29	au luat parte la Rezistența Franceză, care a dus o campanie de gherilă atât împotriva naziștilor cât și împotriva autorităților franceze de la Vichy.	took part in the resistance of France, which led to a guerrilla campaign against both the Nazis and the French authorities in Vichy.	0.5791335717834356
30	P. P. Panaitescu presupune că mai exista o mănăstire și în Țara Făgărașului, căci aici este menționat „Stanciul egumenul”.	This is because, as a result of this, it is clear that the BIP allows the BIP to be met.	-2.2101249930065654
31	Constantin era un adept evlavios al cultului soarelui închinat lui Apollo.	Constantin was a evlavious friend of the sunshine imprisoned of Anglo.	-1.2867923570319422
32	În cadrul amplei mișcări a modernismului, Kafka este identificat adesea cu două mari curente, expresionismul și suprarealismul.	In the comprehensive movement of modernism, Kafka is often identified with two great tendencies, expresionism and overarching.	0.4332434322498121
33	Existau circa 1800 de evrei în Norvegia, deja persecutați de naziștii norvegieni.	There were around 1800 Jews in Norway, already persecuted by Norwegian Nazis.	0.7199945943971288
34	Guvernul olandez a refuzat încă odată o asemenea cerere	The Dutch Government once again refused such a request.	0.6979739231356324
35	Având o datorie externă de circa 20 de miliarde de dolari, guvernul a făcut la 1 iulie 1980 a recurs la o nouă majorare a prețurilor la carne.	With an external debt of around USD 20 billion, the government made a further rise in meat prices on 1 July 1980.	0.6456725432974794
36	În 1938, Hitler anexează Austria și o parte a Cehoslovaciei.	In 1938, Hitler also attaches a part of Czechoslovakia to Austria.	0.6760375689397835
37	"Amiralul Scheer și Ludendorff au decis să inițieze o ultimă ofensivă pentru a demonstra ""curajul"" flotei germane."	"Amiral Scheer and Ludendorff decided to initiate a last offensive to demonstrate the ""courage"" of the German fleet."	0.612768456167353
38	Voievodul deținea atribuțiuni militare, administrative și juridice.	Voivodship held military, administrative and legal tasks.	0.19500996788678157
39	Germanii au folosit resursele Estoniei în efortul lor de război; pe durata ocupației, Estonia a fost incorporată în provincia nazistă Ostland.	Germany used Estonia's resources in their war effort; during the occupation Estonia was incorporated into the Nazi region of Ostland.	0.658501099830678
40	Unitățile se învârt la 300 rpm și, prin urmare, necesită o rată de date a controllerului de numai	The unit shall be rotated at 300 rpm and therefore requires a data rate of controller only.	-0.19446528976476724
41	În interiorul parcului există un teatru de vară, un trenuleț pentru copii cu linie îngustă, un restaurant construit undeva la începutul secolului XX.	Within the fleet there is a summer theatre, a train for children with a narrow line, a restaurant built somewhere at the beginning of the 20th century.	0.35340894015507
42	În poiană se află o casă cu etaj, care găzduiește serviciul permanent de ocrotire a pădurii.	In the pound there is a double-deck house, which hosts the permanent forest maintenance service.	-0.3636204990441081
43	După ce atacaseră Biggin Hill și Kenley, Luftflotte 2 avea în plan să atace stațiile de sector RAF North Weald și RAF Hornchurch.	After attacks by Biggin Hill and Kenley, Luftflote 2 was planning to attack RAF North Weald and RAF Hornchurch business stations.	0.32118738449576567
44	Primul tablou realizat de Lecca este portretul lui Grigore Pleșoianu, executat la Craiova în anul 1833.	The first picture by Lecca is the portrait of Grigore Plesafianu carried out in Craiova in 1833.	-0.03602042058629348
45	De asemenea, 400 de civili norvegieni au fost uciși, în special în timpul raidurilor aviației germane.	Also, 400 Norwegian civilians were killed, particularly during German aviation raids.	0.7451227085600014
46	Se extrăgea aramă la Bratilovo, iar în Buzău erau extrase resurse de chihlimbar și sulf.	They were extradited from Bratilovo and in Buzău resources were extracted from chihlimbar and sulphur.	-0.9310042840337399
47	Text dictat de către monahul Nicolae de la Rohia, poetului Dumitru Cerna, în data de 6 august, Schimbarea la față, 1988.	Text dictated by the Rohia Monahul Nicolae, Dumitru Cerna poet on 6 August 1988.	-1.0706555159140372
48	Mai târziu, Bloom obține și ea puterea Bloomix după ce a căzut în vârtejul de flăcări.	Later, Bloom also obtains Bloomix power after falling into the float.	0.25716800529635236
49	Adunarea a înființat un comitet care a demonstrat cât de gravă era problema, concluzionând că 2 milioane de oameni se puteau întreține numai cerșind.	The assembly set up a committee that demonstrated how serious the problem was, concluding that 2 million people could only support themselves by begging.	0.5684538789742088
50	Extractele din această plantă au proprietăți antibiotice asupra unor germeni patogeni.	Extracts from this plant have antibiotic properties on some pathogens.	0.7093189730879988
51	thumbleft[[Stadionul Național din Varșovia, gazda echipei naționale și unul din stadioanele care au găzduit Euro 2012	It shall immediately submit, on simple request by the Commission, information on the measures already taken and planned to comply with this Decision.	-2.208677269359541
52	A adus cu el picturi în care a reprezentat viața țărănimii și a muncitorilor din acele vremuri.	He brought with him pictures where he represented the lives of the shore and the workers of those times.	-0.6043702985216916
53	Societatea Agricolă Plevna, succesoare a CAP Plevna, sub	The successor of the CAP Plevna under the heading of the Agricultural Company Plevna	-0.49713216787344805
54	Hinduismul a apărut pe parcursul mileniului al doilea precreștin, în jurul anului 1500 i.Hr., fiind fondat de casta brahmanilor, formată din preoți.	Hinduism arose during the millennium of the second pre-Christian, around 1500 i.Hr., based on the casts of boots made up of prizes.	-0.778599929412952
55	De asemenea, coreenii au acționat adesea în calitate de mediator în comerțul cu armament între Iran și restul statelor din blocul comunist.	Koreans have also often acted as a mediator in the arms trade between Iran and the rest of the communist bloc states.	0.6203595830301989
56	Cei mai mari poeți lirici au fost Sappho și Pindar.	The largest pound stories were Sappho and Pindar.	-1.3799365089168103
57	), idea a avut de acum un caracter mai pronunțat cultural.	), the idea has since been more cultural.	0.49407504895502385
58	Relieful carstic compune aproape jumătate din Croația și în special se remarcă în Alpii Dinarici.	The karstic head consists of almost half of Croatia, and especially in the Dinaric Alps.	-0.40849338994147555
59	Se spune că un crai în trecere pe aici a poposit pe una din stânci.	They say that a crash in passing here of a podeposit on one of the rocks.	-1.2921532641961486
60	Ar fi fost inutil să încerce obținerea unei o catedre universitare.	It would have been pointless to try to get a university catalogue.	0.32534468220399654
61	Jules Michelet, Istoria Franței, prefață și tabel cronologic de Marin Bucur, Biblioteca pentru toți, Editura Minerva, București, 1973.	Jules Michelet, Istoria France, Preface and Time Table de Marin BuMercury, Library for All, Editura Minerva, Bucharest, 1973.	-0.4209354130609108
62	Steagul a fost repus pe hampă în Moldova și a participat la campaniile din 1917.	The rennet was put back on the hop in Moldova and participated in the 1917 campaigns.	-0.9119172766467493
63	Acestea acopera cam 1260 de km patrati si sunt putin populate, cu numarul total de locuitori sub 60.000.	They cover a little 1260 km patrats and are sparsely populated juveniles, with a total number of inhabitants of less than 60 000.	-0.6653897224222913
64	1er Division Cuirassée a fost practic distrusă în totalitate pe 17 mai.	1er Division Cuirassée has practically been destroyed on 17 May.	0.5629553551067206
65	La Savannah, capitală Georgiei, organizația revoluționară a preluat conducerea orașului.	In Savannah, the capital of Georgia, the revolutionary organisation took over the leadership of the city.	0.6953391443818911
66	A obținut în 1938 o bursă la Sorbona, unde a scris o teză despre Pascal.	In 1938, he obtained a stock exchange in Sorbona, where he wrote a sentence about Pascal.	-0.4759653642095874
67	Statuile erau amplasate în sanctuare ahu, zone în aer liber, destinate ceremoniilor religioase.	The statuses were located in ahu punishment, open-air areas for religious ceremonies.	-1.071336344757546
