index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	NE0 visited NE2 at Freiburg in 1934.	1934 besuchte NE1 NE3 in Freiburg.	[100, 100, 100]	100.0	[0.9553316582231767, 1.5523622744336512, 0.8505318100501577]	1.1194085809023286	-0.10244649648666382
1	However, a disappointing ninth in China meant that he dropped back to sixth in the standings.	Eine enttäuschende Neunte in China bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.	[61, 70, 87]	72.66666666666667	[-1.1951539386222017, 0.04217636328434989, -0.31279481766981004]	-0.4885907976692206	-0.4310460984706879
2	In his diary, NE4 wrote that the release of NE6 and SlNE8…was like gall and wormwood to me.	"In seinem Tagebuch, NE5 schrieb, dass die Veröffentlichung von NE7 und NE9 ""war wie Galle und Wermut für mich."	[52, 45, 49]	48.666666666666664	[-1.6914198455865197, -1.2163118960067345, -3.7132880371589465]	-2.2070065929174003	-0.3517189621925354
3	Heavy arquebuses mounted on wagons were called arquebus à croc.	Schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.	[61, 55, 85]	67.0	[-1.1951539386222017, -0.7129165922903007, -0.4917681450113435]	-0.7999462253079486	-0.43269601464271545
4	Once NE10 salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.	Sobald der NE11che Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.	[91, 89, 87]	89.0	[0.45906575125885857, 0.998627440345574, -0.31279481766981004]	0.3816327913115409	-0.3929753601551056
5	They engaged in crossfire at Guamaní River Bridge, NE12 and Silva Heights and finally at NE14.	Sie verübten Kreuzfeuer an der Guamaní River Bridge, NE13 und Silva Heights und schließlich an der Schlacht von Asomante.	[61, 58, 88]	69.0	[-1.1951539386222017, -0.5618980011753706, -0.2233081539990433]	-0.6601200312655385	-0.3464942872524261
6	Several WHA teams courted NE15, notably NE17 and the Birmingham Bulls.	Mehrere WHA-Teams umworben NE16, insbesondere NE18 und die Birmingham Bulls.	[100, 74, 88]	87.33333333333333	[0.9553316582231767, 0.24353448477092338, -0.2233081539990433]	0.3251859963316856	-0.2154935449361801
7	16 NE19 in which redshirt freshman NE21 threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.	16 NE20, in dem Rothemd-Neuling NE22 warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück.	[58, 73, 88]	73.0	[-1.3605759076103077, 0.19319495439928003, -0.2233081539990433]	-0.4635630357366903	-0.322855144739151
8	On 12 April 1983, NE23 designated the 69th Regiment Armory an official New York City landmark.	Am 12. April 1983 ernannte NE24 das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City.	[92, 69, 86]	82.33333333333333	[0.5142064075882272, -0.008163167087293482, -0.4022814813405768]	0.03458725305345232	-0.2529260218143463
9	After that, Chinese junks came to northern NE25 with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.	Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von NE26.	[59, 66, 85]	70.0	[-1.305435251280939, -0.1591817582022236, -0.4917681450113435]	-0.6521283848315022	-0.31130683422088623
10	NE27 portrays The Baroness as one of the primary antagonists of NE29 2009 film G.I.	NE28 porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von NE302009	[73, 59, 66]	66.0	[-0.5334660626697776, -0.5115584708037272, -2.192014754755912]	-1.079013096076472	-0.29689383506774897
11	The Roundhead besiegers made an effort to raise a new fort on NE31's furlong, but after some fighting with the NE33 they failed.	Die Roundhead Belagerer bemühten sich, eine neue Festung auf NE32 's Furlong zu erheben, aber nach einigen Kämpfen mit den NE34 scheiterten sie.	[91, 90, 88]	89.66666666666667	[0.45906575125885857, 1.0489669707172173, -0.2233081539990433]	0.4282415226590108	-0.3778840005397797
12	When legendary wrestler NE35 advised NE37 not to underestimate The UndertakNE39perNE37d an RKO on Roberts NE43well.NE45	Als der legendäre Wrestler NE36 NE38 riet, The NE40 nicht zu unterschätzen, führte NE42 ebenfalls einen NE44 auf NE46 durch.	[56, 70, 63]	63.0	[-1.470857220269045, 0.04217636328434989, -2.460474745768212]	-1.2963852009176358	-0.2584606409072876
13	Meanwhile, US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in NE47.	Unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Matériel, um VerteidigerNE48 zu stärken.	[100, 72, 100]	90.66666666666667	[0.2654514735602496, -0.9439568253313346, 0.8505318100501577]	0.05734215275969087	-0.2633198797702789
14	The cover depicted a photograph of The NE49 with a cracked frame, symbolizing the show's damaged and complicated legacy.	Das Cover zeigt ein Foto von The NE50mit einem geknackten Rahmen, das das beschädigte und komplizierte Erbe der Serie symbolisiert.	[53, 67, 60]	60.0	[-1.636279189257151, -0.10884222783058023, -2.7289347367805123]	-1.4913520512894145	-0.4218999147415161
15	The use of furrow widener or a longer mouldboard on the rear body will overcome the problem.	Die Verwendung von Furchenwischer oder ein längeres Mouldboard auf der Rückseite Körper wird das Problem zu überwinden.	[57, 52, 55]	54.666666666666664	[-1.4157165639396765, -0.8639351834052308, -3.176368055134346]	-1.8186732674930843	-0.5566882491111755
16	Differences in dimensionalities of phonons and excitons cause upper level to transform into many states of phonon field.	Unterschiede in der Dimensionalität von Phonen und Erregungen bewirken, dass sich die obere Ebene in viele Zustände des Phonon-Feldes verwandelt.	[59, 65, 89]	71.0	[-1.305435251280939, -0.20952128857386698, -0.13382149032827656]	-0.5495926767276942	-0.4122945070266724
17	Their lustre tarnishes rapidly in air due to oxidation.	Durch Oxidation trübt ihr Glanz schnell in der Luft.	[90, 73, 89]	84.0	[0.40392509492948986, 0.19319495439928003, -0.13382149032827656]	0.15443285300016446	-0.4474330842494965
18	NE51 and the Future of the Humanities.	NE52 and the Future of the Humanities.	[1, 1, 1]	1.0	[-4.503593318384322, -3.4312512323590427, -8.00864789335575]	-5.314497481366371	-0.1254984885454178
19	"They bundled him into a field and ""tarred and feathered"" him."	"Sie bündelten ihn in ein Feld und ""tarred und gefiedert"" ihn."	[71, 54, 63]	62.666666666666664	[-0.643747375328515, -0.7632561226619441, -2.460474745768212]	-1.2891594145862235	-0.46303591132164
