index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	După doar 200 de metri, NE0 la NE2, acoperit cu brădet tânăr și rărit, de unde se poate admira priveliștea.	Only 200 metres later, we arrive at the Former Bandy, covered with NE1ind, from where to admit the cloak.	[23, 23, 23]	23.0	[-1.4250914503623033, -1.9545645382882608, -1.813238521026739]	-1.7309648365591008	-0.7242200374603271
1	NE3 numește un NE5 în fiecare județ pentru a fi reprezentantul său local.	The NE4nt appoints a NE6 to each county to be its local representative.	[93, 86, 100]	93.0	[0.9971458496997823, 0.48870303275464033, 1.0690255985932648]	0.8516248270158959	-0.2045692354440689
2	În 1979, sovieticii au invadat Afghanistan, iar SUA sprijinea grupările musulmane rebele împotrivă sovieticilor.	In 1979, the Soviets invaded Afghanistan and the US supported rebel Muslim groups against the Soviets.	[93, 100, 100]	97.66666666666669	[1.0798029793660062, 1.0690255985932648, 1.031651381875285]	1.0601599866115186	-0.17548397183418274
3	O treime din casele sale au fost avariate sau distruse, iar orașul a pierdut jumătate din populație.	One third of his homes have been damaged or destroyed, and the city has lost half of the population.	[100, 84, 92]	92.0	[1.0484593129562183, 0.4111389828802625, 0.7728312406438095]	0.7441431788267634	-0.202069029211998
4	Înaintea introducerii NE7 la Galați se circula cu trăsuri, omnibuze și tramcare, după modelul celor din București.	Before the NE8ntroduced in Galats it worked with betrams, omnibuses and tramels, similar to those in Bucharest.	[82, 91, 100]	91.0	[0.3335749330058847, 0.7358069459001276, 0.8333627005754242]	0.6342481931604788	-0.3712127506732941
5	A doua zi, NE9 de la depozitul din Concord au fost avertizate.	The day two, the fences at the connectiNE10 were warned.	[77, 89, 100]	88.66666666666669	[0.1396648083199402, 0.6617583564127637, 0.8333627005754242]	0.5449286217693761	-0.7372233271598816
6	Are o industrie turistică bine dezvoltată, fiind o destinație populară printre NE11 britanici și germani.	It has a well-developed tNE12ndustry as a popular destination among British and German tourists.	[100, 100, 100]	100.0	[1.0259160246377157, 1.119444292482282, 1.1112943359682248]	1.0855515510294076	-0.17765559256076813
7	Femeile sunt mai numeroase după vârsta de 30 de ani.	Women are more numerous after the age of 30.	[100, 95, 96]	97.0	[0.8333627005754242, 0.8839041248748553, 1.100956019702443]	0.9394076150509076	-0.21546034514904025
8	În mai 1915, Italia invadeză Austria și pierde 200.000 de NE13.	In May 1915, Italy invaded Austria and lost 200 000 NE14ers.	[100, 93, 97]	96.66666666666669	[1.2393695797059907, 1.0787382953162328, 0.9332482714713641]	1.0837853821645291	-0.1369059681892395
9	Tratatul de Aderare fusese semnat la 16 aprilie 2003.	The Accession Treaty had been signed on 16 April 2003.	[76, 90, 94]	86.66666666666669	[0.37720718641348244, 0.643831132503396, 0.8468798301311734]	0.6226393830160172	-0.12089037895202635
10	NE15 din NE17 și scandalul Watergate au dus la o reevaluare a identității naționale și culturale, mai ales de către cei tiNE19	The failure in NE18 and the WaNE20ate scandal have led to a reassessment of national aNE16tural identity, especially by young people.	[100, 94, 97]	97.0	[0.8333627005754242, 0.8468798301311734, 1.13555940970333]	0.9386006468033092	-0.18406090140342712
11	"Termenul ""bolnavul Europei"" ilustrează destul de exact aceste stări de fapt."	The term 'sick of Europe' illustrates quite precisely these states of fact.	[92, 91, 93]	92.0	[0.7788020161941114, 0.7358069459001276, 0.6779108055270636]	0.7308399225404342	-0.2395255267620087
12	NE21 moderați au intrat atunci în NE23, susținuți de majoritatea muncitoNE25redeau că pot face presiuni pentru a opri războiul.	Moderate NE22then entered the NE24ment, supported by the NE26of workers who thought they could put pressure to stop the war.	[72, 69, 75]	72.0	[0.1936887541370686, 0.33188095675962026, 0.36687045110247346]	0.2974800539997207	-0.2930993139743805
13	La începutul anilor 1960, NE27 întruchipa speranța edificării unei Americi prospere.	In the early 1960s, NE28 embodied the hope of a prosperous American building.	[83, 100, 92]	91.66666666666669	[0.176846306119864, 1.031651381875285, 0.9625424596988953]	0.7236800492313481	-0.2363539934158325
14	După pierderea uneia din bătălii în cadrul războiului civil, Antoniu părăsește Italia.	After the loss of one of the battles in the civil war, Antoniu is leaving Italy.	[100, 100, 98]	99.33333333333331	[1.119444292482282, 0.8333627005754242, 0.8928336080497934]	0.9485468670358332	-0.2097548246383667
15	Pe 13 mai, Corpul XIX german a forțat traversarea râului în trei puncte lângă Sedan.	On 13 May, the German Corp. XIX forced through the River at three points near Sedan.	[73, 63, 53]	63.0	[0.06936964051385296, -0.06500572319352874, -0.24095688744177754]	-0.07886432337381777	-0.36784827709198
16	Toate aranjamentele necesare refugiului făcuseră făcute mai înainte de declanșarea invaziei germane.	All the necessary arrangements for refuge had been made before the German invasion started.	[100, 100, 82]	94.0	[0.8333627005754242, 1.0259160246377157, 0.4789289377005333]	0.7794025543045578	-0.37866368889808655
17	II./SG a raportat 27 de NE29 Fw 190 gata de zbor.	II. / SG reported 27 aeNE30s Fw 190 ready to fly.	[88, 100, 74]	87.33333333333331	[0.6924340559611162, 0.8333627005754242, 0.5108927830725571]	0.6788965132030325	-0.14862312376499176
18	Peste 3,5 milioane de francezi au votat pentru instaurarea imperiului și modificarea constituției.	More than 3.5 million French people voted to introduce the empire and amend the constitution.	[77, 100, 100]	92.33333333333331	[0.1396648083199402, 1.0690255985932648, 0.8333627005754242]	0.6806843691628764	-0.21987327933311465
19	NE31 a ocupat în întregime teritoriul olandez.	Nazist NE32ccupied entirely Dutch territory.	[87, 60, 64]	70.33333333333333	[0.5274850576918293, -0.4021983573265199, -0.26384901217928436]	-0.04618743727132498	-0.3476409912109375
20	Și în cazul habsburgilor era aplicat un regim de reciprocitate.	Also in the case of absconds there was a reciprocity regime in place.	[22, 45, 50]	39.0	[-1.4596948403631902, -0.9673106123092409, -0.5517985343522356]	-0.9929346623415556	-0.5486273765563965
21	Turnul a fost distrus de cutremur, trebuind să fie recunstruit în anii următori.	The earthquake destroyed the pole, having to be reunified in the years to come.	[50, 44, 55]	49.66666666666666	[-0.6177355155083599, -1.1401420146072938, -0.5970676648724217]	-0.7849817316626918	-0.5014995932579039
22	Mai mult chiar, forțele coloniale au luptat, cel puțin până când au hotărât să părăsească tabăra italienilor, cu foarte mare hotărâre.	Moreover, colonial forces fought, at least until they decided to leave the Italian camp with great determination.	[88, 93, 91]	90.66666666666669	[0.8241288996953475, 1.0787382953162328, 0.9336646873562946]	0.9455106274559584	-0.2291734665632248
23	Numărul mare de NE29 de vânătoare trimise în misiuni împotriva avioanelor de recunoaștere nu a fost o greșeală.	There was no mistake in the large number of hunting aeNE34s deployed in missions against recognition aeroplanes.	[69, 66, 63]	66.0	[0.08790303637420789, -0.1977196259513125, 0.1170667651840961]	0.002416725202330494	-0.4070521295070648
24	Astfel el călătorește în trecut și o salvează pe NE35.	He is thus travelling in the past and saving NE36.	[100, 72, 85]	85.66666666666667	[1.126291054430693, 0.4392880525473824, 0.7211168487611117]	0.7622319852463958	-0.18662099540233607
25	Limba greacă a rămas după declinul NE37 drept limba oficială a NE38.	The Greek language remained after the decline of the Roman empire as the official language oNE39 Empire.	[86, 84, 90]	86.66666666666669	[0.5934665098614083, 0.550097310454061, 0.765548731272]	0.6363708505291564	-0.10246705263853073
26	Teatrul are o tradiție bogată în Slovenia, începând cu primul spectacol de teatru în limba slovenă din 1867.	The theatre has a tradition rich in Slovenia, starting with the first theatre performance in Slovenian since 1867.	[56, 65, 61]	60.66666666666666	[-0.13354979165401545, -0.22682471743560242, -0.26833897621150676]	-0.2095711617670416	-0.28919625282287603
27	În perioade interbelică, doar un mic număr de NE19 au fost încorporați.	In inNE41ar periods, only a small number of young people were incorporated.	[96, 98, 100]	98.0	[0.9771075469752267, 1.1816371657173415, 1.0690255985932648]	1.0759234370952775	-0.31300970911979675
28	Aceste tunuri belgine erau mai bune decât NE42 antitanc de 25 mm ale francezilor, sau cele de 37 mm ale germanilor.	NE43ellows were better than the 25 mm anti-tank parts of the French, or 37 mm of the Germans.	[65, 37, 67]	56.33333333333334	[-0.1260022307044515, -0.9792658600003519, -0.15277612794823858]	-0.4193480728843473	-0.25427284836769104
29	au luat parte la Rezistența Franceză, care a dus o campanie de gherilă atât împotriva naziștilor cât și împotriva autorităților franceze de la Vichy.	took part in the resistance of France, which led to a guerrilla campaign against both the Nazis and the French authorities in Vichy.	[76, 88, 97]	87.0	[0.40888821968470435, 0.5662670826290181, 0.9579527143622191]	0.6443693388919806	-0.1790638118982315
30	NE44 presupune că mai exista o mănăstire și în NE46, căci aici este menționat „Stanciul egumenul”.	This is becausNE45lt of this, it is clear that the BIP allows the BIP to be met.	[1, 1, 1]	1.0	[-2.807769086906417, -2.5963795810312456, -2.602239511708932]	-2.6687960598821987	-1.344859004020691
31	NE47 era un adept evlavios al cultului NE49 închinat lui Apollo.	NE48 waNE50vious friend of the sunshine imprisoned of Anglo.	[15, 22, 19]	18.666666666666668	[-1.7019185703693989, -1.613543446694494, -1.7409402771246398]	-1.6854674313961775	-0.5099145174026489
32	În cadrul amplei mișcări a modernismului, NE51 este identificat NE53 cu două mari curente, expresionismul și suprarealismul.	In the comNE54sive movement of modernism, NE52 is often identified with two great tendencies, expresionism and overarching.	[84, 100, 92]	92.0	[0.7078405007440819, 0.8333627005754242, 1.0408188341611522]	0.8606740118268861	-0.4335995316505432
33	Existau circa 1800 de evrei în Norvegia, deja persecutați de NE55 norvegieni.	There were around 1800 Jews in Norway, already persecuted by Norwegian NE56	[90, 100, 92]	94.0	[0.8933356796971215, 0.8333627005754242, 1.1553353577991297]	0.9606779126905586	-0.13255435228347778
34	NE57 a refuzat încă odată o asemenea cerere	The Dutch NE58once again refused such a request.	[90, 100, 100]	96.66666666666669	[0.9649799118509909, 0.8333627005754242, 1.0259160246377157]	0.9414195456880436	-0.2577812969684601
35	Având o datorie externă de circa 20 de miliarde de dolari, NE59 a făcut la 1 iulie 1980 a recurs la o nouă majorare a prețurilor la carne.	With an external debt of around USD 20 billion, the NE60nt made a further rise in meat prices on 1 July 1980.	[100, 100, 100]	100.0	[0.8333627005754242, 1.0259160246377157, 1.119444292482282]	0.9929076725651408	-0.25629976391792303
36	În 1938, NE61 anexează Austria și o parte a Cehoslovaciei.	In 1938, NE62 also attaches a part of Czechoslovakia to Austria.	[96, 98, 100]	98.0	[1.203790472239981, 0.9540873320009072, 1.0690255985932648]	1.0756344676113845	-0.1888339072465897
37	"NE63 și Ludendorff au decis să inițieze o ultimă ofensivă pentru a demonstra ""curajul"" NE65."	"NE64 and Ludendorff decided to initiate a last offensive to demonstrate the ""courage"" oNE66fleet."	[78, 92, 99]	89.66666666666669	[0.3365921921934781, 0.6937847711654458, 1.032001303849583]	0.6874594224028355	-0.15131857991218567
38	Voievodul deținea atribuțiuni militare, administrative și juridice.	Voivodship held military, administrative and legal tasks.	[68, 72, 70]	70.0	[-0.20937341611476, 0.2118905292481827, -0.12008284672089586]	-0.03918857786249106	-0.2716032266616821
39	NE67 au folosit resursele Estoniei în efortul lor de război; pe durata ocupației, Estonia a fost incorporată în provincia nazistă Ostland.	NE68used Estonia's resources in their war effort; during the occupation Estonia was incorporated into the Nazi region of Ostland.	[81, 99, 97]	92.33333333333331	[0.7615093399106686, 0.9950267735822652, 0.9579527143622191]	0.9048296092850509	-0.2806578874588013
40	Unitățile se învârt la 300 rpm și, prin urmare, necesită o rată de date a controllerului de numai	The unit shall be rotated at 300 rpm and therefore requires a data rate of controller only.	[43, 45, 55]	47.66666666666666	[-0.7330236503445645, -1.101359989670105, -0.49070526370434114]	-0.7750296345730036	-0.5409077405929565
41	În interiorul parcului există un teatru de vară, un trenuleț pentru NE69 cu linie îngustă, un restaurant construit undeva la începutul secolului XX.	Within the fleet there is a summer theatre, a train for NE70dren with a narrow line, a restaurant built somewhere at the beginning of the 20th century.	[90, 80, 100]	90.0	[0.9649799118509909, 0.32853970371962643, 0.783766770321848]	0.6924287952974885	-0.2144688963890076
42	În poiană se află o casă cu etaj, care găzduiește serviciul permanent de ocrotire a NE71.	In the NE72there is a double-deck house, which hosts the permanent forest maintenance service.	[64, 82, 73]	73.0	[-0.5757786710879303, 0.3335749330058847, 0.3050780496820435]	0.02095810386666595	-0.5962216258049011
43	După ce NE73 și NE75, Luftflotte 2 avea în plan să atace stațiile de sector RAF North NE77h.NE79	After aNE74 and NE76, Luftflote 2 was planning to atNE78 and NE80 business stations.	[77, 90, 100]	89.0	[0.1396648083199402, 0.6201952995495169, 0.8333627005754242]	0.5310742694816271	-0.16595619916915896
44	Primul tablou realizat de Lecca este portretul lui NE81, executat la Craiova în anul 1833.	The first picture by Lecca is the portrait of NE82anu carried out in Craiova in 1833.	[60, 55, 50]	55.0	[-0.2840594422477165, -0.5968056203690558, -0.5517985343522356]	-0.4775545323230026	-0.2867260277271271
45	De asemenea, 400 de NE83 norvegieni au fost uciși, în special în timpul raidurilor aviației germane.	Also, 400 Norwegian NE84ans were killed, particularly during German aviation raids.	[91, 94, 100]	95.0	[0.9279390696980083, 1.1166577564713134, 1.0259160246377157]	1.0235042836023458	-0.3706848621368408
46	Se extrăgea aramă la Bratilovo, iar în Buzău erau extrase resurse de chihlimbar și sulf.	They were extradited from Bratilovo and in Buzău resources were extracted from chihlimbar and sulphur.	[44, 36, 28]	36.0	[-0.7793153012827195, -1.2006544669900585, -1.1981100513547227]	-1.0593599398758335	-0.3878355920314789
47	Text dictat de către NE85 de la NE87, poetului DuNE89e 6 august, Schimbarea la față, 1988.	Text dictated by the NE88 NE90 poet on 6 August 1988.	[26, 23, 19]	22.66666666666667	[-1.2076207495316365, -1.7818450966702433, -1.563505010365851]	-1.5176569521892436	-0.18523523211479187
48	Mai târziu, Bloom obține și ea puterea Bloomix după ce a căzut în vârtejul de flăcări.	Later, Bloom also obtains Bloomix power after falling into the float.	[86, 93, 100]	93.0	[0.6129338655036903, 0.7730753262464845, 0.8333627005754242]	0.7397906307751997	-0.4049468338489533
49	Adunarea a înființat un comitet care a demonstrat cât de gravă era problema, concluzionând că 2 milioane de NE91 se puteau întreține numai cerșind.	The assembly set up a cNE92ttee that demonstrated how serious the problem was, concluding that 2 million people could only support themselves by begging.	[74, 100, 100]	91.33333333333331	[0.5108927830725571, 1.0259160246377157, 1.0690255985932648]	0.8686114687678459	-0.2314554750919342
50	NE93 din această plantă au proprietăți antibiotice asupra unor germeni patogeni.	NE94rom this plant have antibiotic properties on some pathogens.	[91, 94, 100]	95.0	[0.9279390696980083, 1.1166577564713134, 0.8333627005754242]	0.9593198422482486	-0.21610645949840546
51	thumbleft Stadionul Național din Varșovia, gazda echipei naționale și unul din stadioanele care au găzduit Euro 2012	It shall immediately submit, on simple request by the Commission, information on the measures already taken and planned to comply with this Decision.	[1, 1, 1]	1.0	[-2.6823272679223003, -2.1863660303818158, -2.5963795810312456]	-2.4883576264451204	-0.07887644320726395
52	A adus cu NE95 picturi în care a reprezentat viața țărănimii și a NE25 din acele vremuri.	HNE96brNE98th him pictures where he represented the lives of the shore and the workers of those times.	[54, 50, 50]	51.33333333333334	[-0.35238636033480825, -0.6973510851609658, -0.7429962429518655]	-0.5975778961492132	-0.2671031057834625
53	NE99, succesoare a NE100, sub	The successor of the NE101 under the heading of the Agricultural Company Plevna	[62, 70, 54]	62.0	[-0.20140111366506663, -0.1318093662403822, -0.6340919596161035]	-0.3224341465071841	-0.2915548980236053
54	Hinduismul a apărut pe parcursul mileniului al doilea precreștin, în jurul anului 1500 i.Hr., fiind fondat de casta brahmanilor, formată din NE102.	Hinduism arose during the millennium of the second NE103ristian, around 1500 i.Hr., based on the casts of boots made up of prizes.	[41, 61, 47]	49.66666666666666	[-0.8022304303463385, -0.48084759067508237, -0.893262022821877]	-0.7254466812810992	-0.5105512142181396
55	De asemenea, coreenii au acționat adesea în calitate de mediator în comerțul cu NE104 între Iran și restul statelor din blocul comunist.	Koreans have also often acted as a mediator in the NE105rade between Iran and the rest of the communist bloc states.	[89, 90, 91]	90.0	[0.6050491075662071, 0.9558154864920314, 0.8001232917416224]	0.7869959619332869	-0.18530459702014926
56	Cei mai mari poeți lirici au fost NE106 și Pindar.	The largest pound stories were NE107 and Pindar.	[16, 16, 15]	15.666666666666664	[-2.2260387128485832, -1.5687810640201292, -2.1438718353573383]	-1.9795638707420167	-0.3509880006313324
57	), idea a avut de acum un caracter mai pronunțat cultural.	), the idea has since been more cultural.	[100, 100, 100]	100.0	[1.126291054430693, 1.4417542798998286, 1.2524864452490692]	1.273510593193197	-0.35073792934417725
58	Relieful carstic compune aproape jumătate din Croația și în special se remarcă în NE108.	The karstic head consists of almost half of Croatia, and especially iNE109 Alps.	[58, 52, 64]	58.0	[-0.2139728003312605, -0.8402579132231289, -0.16158641708121532]	-0.4052723768785349	-0.3899529278278351
59	Se spune că un crai în trecere pe aici a poposit pe una din stânci.	They say that a crash in passing here of a podeposit on one of the rocks.	[20, 23, 46]	29.66666666666667	[-1.5289016203649641, -1.813238521026739, -0.930286317565559]	-1.4241421529857543	-0.5909985303878784
60	Ar fi fost inutil să încerce obținerea unei o catedre universitare.	It would have been pointless to try to get a university catalogue.	[77, 100, 89]	88.66666666666669	[0.21746681948858065, 0.8333627005754242, 0.5861155109869823]	0.5456483436836623	-0.3189274072647095
61	NE110, NE112, prefață și tabel cronologic de Marin BucNE114eca pentru tNE116BucureștNE117	NE111, NE113 Preface and Time Table de NE115cury, Library for All, NE118, Bucharest, 1973.	[61, 63, 69]	64.33333333333333	[-0.40611651090979184, -0.30087330692296627, 0.08790303637420789]	-0.20636226048618336	-0.15455999970436096
62	Steagul a fost repus pe hampă în Moldova și a participat la campaniile din 1917.	The rennet was put back on the hop in Moldova and participated in the 1917 campaigns.	[46, 45, 46]	45.66666666666666	[-1.062577964732916, -0.9673106123092409, -0.8828392845579519]	-0.9709092872000364	-0.2181790918111801
63	Acestea acopera cam 1260 de km patrati si sunt putin populate, cu numarul total de NE119 sub 60.000.	They cover a NE120 1260 km patrats and are sparsely populated juveniles, with a total number of inhabitants of less than 60 000.	[50, 50, 50]	50.0	[-0.8116904617901946, -0.7821891385908313, -0.5517985343522356]	-0.7152260449110871	-0.5503295660018921
64	1er Division Cuirassée a fost practic distrusă în totalitate pe 17 mai.	1er Division Cuirassée has practically been destroyed on 17 May.	[71, 96, 96]	87.66666666666669	[0.403485687284795, 1.1924966787814748, 0.9209284196185372]	0.8389702618949357	-0.18720340728759768
