index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	NE0 visited NE1 at Freiburg in 1934.	1934 besuchte NE2 in NE3.	[100, 100, 100]	100.0	[0.9553316582231767, 1.5523622744336512, 0.8505318100501577]	1.1194085809023286	-0.10244649648666382
1	However, a disappointing ninth in China meant that he dropped back to sixth in the standings.	Eine enttäuschende Neunte in NE4 bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.	[61, 70, 87]	72.66666666666667	[-1.1951539386222017, 0.04217636328434989, -0.31279481766981004]	-0.4885907976692206	-0.4310460984706879
2	In his diary, NE5 wrote that the release of NE6 and SlNE7…was like gall and wormwood to me.	In seinem Tagebuch, NE5 schrieb, dass die Veröffentlichung von NE6 und SlNE7war wie Galle und Wermut für mich.	[52, 45, 49]	48.666666666666664	[-1.6914198455865197, -1.2163118960067345, -3.7132880371589465]	-2.2070065929174003	-0.3517189621925354
3	Heavy arquebuses mounted on wagons were called arquebus à croc.	Schwere Arquebuses auf NE11 montiert wurden Arquebus à croc genannt.	[61, 55, 85]	67.0	[-1.1951539386222017, -0.7129165922903007, -0.4917681450113435]	-0.7999462253079486	-0.43269601464271545
4	Once NE12 salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.	Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.	[91, 89, 87]	89.0	[0.45906575125885857, 0.998627440345574, -0.31279481766981004]	0.3816327913115409	-0.3929753601551056
5	They engaged in crossfire at Guamaní River Bridge, NE13 and Silva Heights and finally at NE14.	Sie verübten Kreuzfeuer an der NE15, NE13 und Silva Heights unNE17 an der Schlacht von Asomante.	[61, 58, 88]	69.0	[-1.1951539386222017, -0.5618980011753706, -0.2233081539990433]	-0.6601200312655385	-0.3464942872524261
6	Several WHA teams courted NE18, notably NE19 and the Birmingham Bulls.	Mehrere NE20 umworben Gretzky, insbesondere die Indianapolis Racers und die NE21.	[100, 74, 88]	87.33333333333333	[0.9553316582231767, 0.24353448477092338, -0.2233081539990433]	0.3251859963316856	-0.2154935449361801
7	16 NE22 in which redshirt freshman NE23 threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.	16 Penn State, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als NE24 zurück.	[58, 73, 88]	73.0	[-1.3605759076103077, 0.19319495439928003, -0.2233081539990433]	-0.4635630357366903	-0.322855144739151
8	On 12 April 1983, NE25 designated the 69th Regiment Armory an official New York City landmark.	Am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von NE26.	[92, 69, 86]	82.33333333333333	[0.5142064075882272, -0.008163167087293482, -0.4022814813405768]	0.03458725305345232	-0.2529260218143463
9	After that, Chinese junks came to northern NE27 with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.	Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von NE27.	[59, 66, 85]	70.0	[-1.305435251280939, -0.1591817582022236, -0.4917681450113435]	-0.6521283848315022	-0.31130683422088623
