index	original	translation	scores	mean	z_scores	z_mean	model_scores	AE
0	The last conquistador then rides on with his sword drawn.	最后的征服者骑着他的剑继续前进.	[34, 38, 42]	38.0	[-1.6082034156434533, -1.7847572356764654, -1.1493974315381452]	-1.5141193609526882	-0.6990631818771362	2.486378022057444
1	He shoves NE9764 into the pit where NE2453 rips out his son's heart.	他把NE8236扔进了挖掘机挖出儿子心脏的坑里.	[51, 49, 50, 70, 60, 50]	55.0	[-0.9117078937258674, -1.6671266171635248, -0.6464868266138578, 0.15937592163328054, 0.14944823277894595, -0.6886702766213634]	-0.6008612432853978	-0.6273436546325684	1.483459122192655
2	Alpha Phi Alpha also participates in the March of Dimes' WalkAmerica and raised over $181,000 in 2006.	Alpha Phi Alpha 还参加了 Dimes 'WalkAmerica 的 3 月活动 ， 并在 2006 年筹集了 181 000 美元。	[67, 95, 71, 65, 45, 50]	65.5	[-0.14077147789135155, 0.891823783328571, 0.43515646381259004, -0.04732479706499497, -0.61134832637918, -0.6886702766213634]	-0.02685577180262148	-0.3339879810810089	0.8178618861286171
3	In 1995, Deftones released their debut album Adrenaline.	1995 年 ， Deftones 发行了首张专辑《肾上腺素》。	[83, 89, 92]	88.0	[0.6605739498965285, 1.1664094557428424, 1.3481260780005488]	1.0583698278799731	-0.32621049880981445	0.015064284185344778
4	Kyrgios also supports the North Melbourne Kangaroos Football Club in the Australian Football League.	基尔吉奥斯还在澳大利亚足球联盟中支持北墨尔本袋鼠足球俱乐部.	[94, 81, 76]	83.66666666666667	[1.92791735961526, 0.5518925638710621, 0.459654826235891]	0.9798215832407376	-0.6139927506446838	0.19559704105378495
5	The August 16 semifinals placed McFarlane in the second heat.	八月十六日的半决赛使麦克法兰处于第二位.	[83, 70, 61]	71.33333333333333	[0.6605739498965285, 0.20790682744575845, -0.2799046179067699]	0.19619205314517232	-0.6590238213539124	0.7739958371337765
6	However, after a few victories, the campaign falters.	但是 ， 在取得了几次胜利之后 ， 这场运动就失败了。	[80, 85, 85]	83.33333333333333	[0.49755187085832897, 0.9646194287329299, 1.1562519907635553]	0.8728077634516048	-0.8927724361419678	0.3714482051674043
7	"They are untouched by modern craze for aggiornamento""."	"他们没有被现代对农业的迷恋所触动 ""."	[84, 78, 81]	81.0	[0.7149146429092618, 0.394121204427515, 0.39476221394086863]	0.5012660204258818	-0.921887457370758	0.5897469161501901
8	Damiani, Matteo A tragic episode of cannibalism during the famine of the Great Leap Forward.	达米亚尼, 马特奥在大跃进饥荒中的惨剧.	[75, 77, 76]	76.0	[0.22584840579466298, 0.29825894472828096, 0.18398901952756763]	0.2360321233501705	-0.8190220594406128	0.7198785171930604
9	On 24 November 2010, Miles Kane revealed that Gallagher sang on a track from his debut solo album titled My Fantasy.	"2010 年 11 月 24 日 ， Miles Kane 透露 ， Gallagher 在他的首张题为 ""我的幻想"" 的独唱专辑的轨道上唱歌。"	[72, 83, 78, 75, 65, 80]	75.5	[0.10014615205693464, 0.2242715049393286, 0.7957042272880727, 0.36607664033155607, 0.4030470858316546, 0.8520021409321601]	0.4568746252299511	-0.4454907774925232	0.33499123556170013
10	Jonah Wizard later traps them in a deserted island on the Nile.	乔纳 · 维扎德后来在尼罗河上的一个荒岛上捉住了他们.	[79, 100, 80, 85, 90, 90]	87.33333333333331	[0.4374308339845353, 1.1699705659907553, 0.8987178739953534, 0.7794780777281071, 1.671041351095198, 1.3655596134500012]	1.0536997193739917	-0.566913902759552	0.0496079968139036
11	The standard load for a Voyageur on a portage was two bundles, or 180 lb.	一个旅行者在港口的标准负载是两个捆绑, 即 180 磅.	[53, 78, 56]	62.33333333333334	[-0.29880266305962655, 0.3888704848328626, -0.498358267088935]	-0.136096815105233	-0.7031942009925842	0.8482683341461855
12	Returning to the gulch, he throws Schneider to the lion.	回到峡谷, 他把施奈德扔给了狮子.	[100, 100, 90, 95, 80, 90]	92.5	[1.4492848797673374, 1.1699705659907553, 1.4137861075317573, 1.192879515124658, 1.1638436449897807, 1.3655596134500012]	1.2925540544757153	-0.5746616721153259	0.34645485086871886
13	Boucher and Leighton became the first goalies since 1955 to share a playoff shutout.	布彻和莱顿成为 1955 年以来第一个分享季后赛的门将.	[70, 85, 78, 75, 55, 50]	68.83333333333333	[0.003779100077620162, 0.3355302180042023, 0.7957042272880727, 0.36607664033155607, -0.1041506202737627, -0.6886702766213634]	0.11804488146772085	-0.5842887163162231	0.7112965489405448
14	Tapestries of NE6765 decorate the choir and represent the miracles of NE3489.	NE481的唱诗班装饰了合唱团 ， 代表了圣NE3596的奇迹。	[52, 42, 32, 65, 45, 50]	47.66666666666666	[-0.8635243677362101, -2.056532112890583, -1.5736096469793845, -0.04732479706499497, -0.61134832637918, -0.6886702766213634]	-0.9735015879452859	-0.6479259729385376	1.9194142167745345
15	The poet Robert Browning and his wife Elizabeth attended a séance on 23, July 1855 in Ealing with the Rymers.	1855 年 7 月 23 日 ， 诗人罗伯特 · 布朗宁和他的妻子伊丽莎白在《与运动员共进晚餐》中参加了一个圣职。	[76, 81, 86]	81.0	[0.2023966850290469, 0.7628294017230176, 0.8235960289347282]	0.5962740385622642	-0.7034218311309814	0.5177157435535349
16	Simply titled Unplugged, the album debuted at number one on the U.S.	"这张专辑在美国名列第一 ， 简而言之标题是 ""未插上"" 。"	[91, 66, 79, 65, 45, 60]	67.66666666666667	[1.0156331458604222, -0.7214275561120982, 0.8472110506417131, -0.04732479706499497, -0.61134832637918, -0.17511280410352223]	0.05127178547372328	-0.9726664423942566	0.8279227678877589
17	His nudes celebrated the glamor and beauty of the female form.	他的裸体颂扬了女性的魅力和美丽.	[79, 60, 82]	73.66666666666667	[0.44321117784559577, -0.18560226335610253, 0.7775702432244512]	0.34505971923798145	-0.821742594242096	0.7325334318077501
18	He can play the flute, the piano and the percussions.	他能演奏长笛、钢琴和打击乐器.	[100, 98, 91, 95, 95, 90]	94.83333333333331	[1.4492848797673374, 1.0587118529258817, 1.4652929308853975, 1.192879515124658, 1.9246402041479067, 1.3655596134500012]	1.409394832716864	-0.3708063066005707	0.12099671711426829
19	The crusaders especially needed the Venetians' ships against the Egyptians.	十字军特别需要威尼斯人的船只来对付埃及人。	[100, 78, 97]	91.66666666666669	[1.396528507302708, 0.3888704848328626, 1.5699895097626673]	1.1184628339660794	-0.5908176898956299	0.13256985486482742
20	Emeritus Professor of General Pathology and Physiopathology at the Faculty of Medicine, Central University of Venezuela.	委内瑞拉中央大学医学院普通病理学和生理病理学名誉教授。	[100, 96, 95, 75, 90, 95]	91.83333333333331	[1.4492848797673374, 0.9474531398610079, 1.671320224299959, 0.36607664033155607, 1.671041351095198, 1.6223383497089219]	1.2879190975106634	-0.3076200485229492	0.04090482715702182
21	NE727, NE2513 A Plot in the NE5610.	《NE7282》, NE2883	[40, 36, 32]	36.0	[-0.85928220739592, -1.8934386217019317, -1.7090984291484095]	-1.4872730860820869	-0.5385094881057739	2.403231999700971
