index	text_a	text_b	predictions
0	După doar 200 de metri, ajungem la Foișorul Bătrânei, acoperit cu brădet tânăr și rărit, de unde se poate admira priveliștea.	Only 200 metres later, we arrive at the Former Bandy, covered with young rind, from where to admit the cloak.	-1.4572940854206662
1	Guvernul numește un prefect în fiecare județ pentru a fi reprezentantul său local.	The Government appoints a prefect to each county to be its local representative.	0.65350514712972
2	În 1979, sovieticii au invadat Afghanistan, iar SUA sprijinea grupările musulmane rebele împotrivă sovieticilor.	In 1979, the Soviets invaded Afghanistan and the US supported rebel Muslim groups against the Soviets.	0.6255775435273601
3	O treime din casele sale au fost avariate sau distruse, iar orașul a pierdut jumătate din populație.	One third of his homes have been damaged or destroyed, and the city has lost half of the population.	0.6653543968486557
4	Înaintea introducerii tramvaiului la Galați se circula cu trăsuri, omnibuze și tramcare, după modelul celor din București.	Before the tram was introduced in Galats it worked with betrams, omnibuses and tramels, similar to those in Bucharest.	0.034284244353915576
5	A doua zi, gărzile de la depozitul din Concord au fost avertizate.	The day two, the fences at the connection site were warned.	0.17098263929561397
6	Are o industrie turistică bine dezvoltată, fiind o destinație populară printre turiștii britanici și germani.	It has a well-developed tourist industry as a popular destination among British and German tourists.	0.6723886165254934
7	Femeile sunt mai numeroase după vârsta de 30 de ani.	Women are more numerous after the age of 30.	0.6531141350658501
8	În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați.	In May 1915, Italy invaded Austria and lost 200 000 soldiers.	0.6801727324929412
9	Tratatul de Aderare fusese semnat la 16 aprilie 2003.	The Accession Treaty had been signed on 16 April 2003.	0.5473903803719026
10	Eșecul din Vietnam și scandalul Watergate au dus la o reevaluare a identității naționale și culturale, mai ales de către cei tineri.	The failure in Vietnam and the Watergate scandal have led to a reassessment of national and cultural identity, especially by young people.	0.6469696492011394
11	"Termenul ""bolnavul Europei"" ilustrează destul de exact aceste stări de fapt."	The term 'sick of Europe' illustrates quite precisely these states of fact.	0.5852080278464765
12	Socialiștii moderați au intrat atunci în guvern, susținuți de majoritatea muncitorilor care credeau că pot face presiuni pentru a opri războiul.	Moderate Socialists then entered the government, supported by the majority of workers who thought they could put pressure to stop the war.	0.5729123936623504
13	La începutul anilor 1960, președintele Kennedy întruchipa speranța edificării unei Americi prospere.	In the early 1960s, President Kennedy embodied the hope of a prosperous American building.	0.5468016414578627
14	După pierderea uneia din bătălii în cadrul războiului civil, Antoniu părăsește Italia.	After the loss of one of the battles in the civil war, Antoniu is leaving Italy.	0.6285626193440006
15	Pe 13 mai, Corpul XIX german a forțat traversarea râului în trei puncte lângă Sedan.	On 13 May, the German Corp. XIX forced through the River at three points near Sedan.	0.04096905529514795
16	Toate aranjamentele necesare refugiului făcuseră făcute mai înainte de declanșarea invaziei germane.	All the necessary arrangements for refuge had been made before the German invasion started.	0.6240756041551793
17	II./SG a raportat 27 de avioane Fw 190 gata de zbor.	II. / SG reported 27 aeroplanes Fw 190 ready to fly.	0.4933335917737059
18	Peste 3,5 milioane de francezi au votat pentru instaurarea imperiului și modificarea constituției.	More than 3.5 million French people voted to introduce the empire and amend the constitution.	0.6600877264048783
19	Germania Nazistă a ocupat în întregime teritoriul olandez.	Nazist Germany has occupied entirely Dutch territory.	0.08630742969452546
20	Și în cazul habsburgilor era aplicat un regim de reciprocitate.	Also in the case of absconds there was a reciprocity regime in place.	-0.9398074964754906
21	Turnul a fost distrus de cutremur, trebuind să fie recunstruit în anii următori.	The earthquake destroyed the pole, having to be reunified in the years to come.	-0.8135803705516846
22	Mai mult chiar, forțele coloniale au luptat, cel puțin până când au hotărât să părăsească tabăra italienilor, cu foarte mare hotărâre.	Moreover, colonial forces fought, at least until they decided to leave the Italian camp with great determination.	0.585090176425484
23	Numărul mare de avioane de vânătoare trimise în misiuni împotriva avioanelor de recunoaștere nu a fost o greșeală.	There was no mistake in the large number of hunting aeroplanes deployed in missions against recognition aeroplanes.	-0.019332970288343736
