index	text_a	text_b	predictions
0	José Ortega y Gasset visited Husserl at Freiburg in 1934.	1934 besuchte José Ortega y Gasset Husserl in Freiburg.	-0.2548698052393239
1	However, a disappointing ninth in China meant that he dropped back to sixth in the standings.	Eine enttäuschende Neunte in China bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.	-0.36801534614391385
2	"In his diary, Chase wrote that the release of Mason and Slidell ""…was like gall and wormwood to me."	"In seinem Tagebuch, Chase schrieb, dass die Veröffentlichung von Mason und Slidell ""war wie Galle und Wermut für mich."	-0.3622351608698848
3	Heavy arquebuses mounted on wagons were called arquebus à croc.	Schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.	-0.46731170936766364
4	Once North Pacific salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.	Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.	-0.38639831579264666
5	They engaged in crossfire at Guamaní River Bridge, Coamo and Silva Heights and finally at the Battle of Asomante.	Sie verübten Kreuzfeuer an der Guamaní River Bridge, Coamo und Silva Heights und schließlich an der Schlacht von Asomante.	-0.3612577541533203
6	Several WHA teams courted Gretzky, notably the Indianapolis Racers and the Birmingham Bulls.	Mehrere WHA-Teams umworben Gretzky, insbesondere die Indianapolis Racers und die Birmingham Bulls.	-0.34842544746816323
7	16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.	16 Penn State, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück.	-0.4382634577592156
8	On 12 April 1983, the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark.	Am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City.	-0.32399149011476575
9	After that, Chinese junks came to northern Borneo with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.	Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von Borneo.	-0.3232574061007395
